TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xPos, yPos, zPos
637946262401757969,,,,0,,300,Game Start,,,
637946262412672175,,,,0,,,looking at red cube,1.389999,17.85289,-0.46
637946262412881341,,,,0,,,looking at red cube,1.389999,17.80884,-0.46
637946262413111396,,,,0,,,looking at red cube,1.389999,17.76367,-0.46
637946262413557912,,,,0,,,looking at red cube,1.389999,17.67467,-0.46
637946262415143312,,,,0,,,looking at red cube,1.389999,17.35641,-0.46
637946262415643422,,,,0,,,looking at red cube,1.389999,17.25602,-0.46
637946262415833479,,,,0,,,looking at red cube,1.389999,17.22015,-0.46
637946262416033514,,,,0,,,looking at red cube,1.389999,17.17989,-0.46
637946262416223557,,,,0,,,looking at red cube,1.389999,17.14241,-0.46
637946262416403600,,,,0,,,looking at red cube,1.389999,17.10442,-0.46
637946262416593640,,,,0,,,looking at red cube,1.389999,17.06731,-0.46
637946262416783683,,,,0,,,looking at red cube,1.389999,17.02967,-0.46
637946262416973725,,,,0,,,looking at red cube,1.389999,16.99076,-0.46
637946262417163767,,,,0,,,looking at red cube,1.389999,16.95299,-0.46
637946262426712637,,,,0,,,looking at red cube,1.389999,15.04285,-0.46
637946262430108015,,,,0,,,looking at red cube,1.389999,14.36502,-0.46
637946262430328066,,,,0,,,looking at red cube,1.389999,14.32104,-0.46
637946262430548118,,,,0,,,looking at red cube,1.389999,14.27672,-0.46
637946262430768167,,,,0,,,looking at red cube,1.389999,14.23254,-0.46
637946262430988214,,,,0,,,looking at red cube,1.389999,14.18759,-0.46
637946262431208264,,,,0,,,looking at red cube,1.389999,14.14368,-0.46
637946262431438821,,,,0,,,looking at red cube,1.389999,14.09891,-0.46
637946262431728381,,,,0,,,looking at red cube,1.389999,14.04143,-0.46
637946262431898418,,,,0,,,looking at red cube,1.389999,14.00406,-0.46
637946262432068451,,,,0,,,Regular Red Cube(Clone) was picked up,1.389999,14.00406,-0.46
637946262454714545,,,,0,,,Regular Red Cube(Clone)was placed in dropzone,14,7,10.41
637946262466849329,,,,0,,,looking at blue cube,1.389999,13.12433,-0.46
637946262467039379,,,,0,,,looking at blue cube,1.389999,13.0863,-0.46
637946262467239420,,,,0,,,looking at blue cube,1.389999,13.04964,-0.46
637946262467429457,,,,0,,,looking at blue cube,1.389999,13.01029,-0.46
637946262467629499,,,,0,,,looking at blue cube,1.389999,12.97041,-0.46
637946262467809541,,,,0,,,looking at blue cube,1.389999,12.93227,-0.46
637946262468019595,,,,0,,,looking at blue cube,1.389999,12.89396,-0.46
637946262468229636,,,,0,,,looking at blue cube,1.389999,12.85083,-0.46
637946262468429679,,,,0,,,looking at blue cube,1.389999,12.81178,-0.46
637946262468629725,,,,0,,,looking at blue cube,1.389999,12.77113,-0.46
637946262468819772,,,,0,,,looking at blue cube,1.389999,12.73241,-0.46
637946262469019809,,,,0,,,looking at blue cube,1.389999,12.69342,-0.46
637946262469219859,,,,0,,,looking at blue cube,1.389999,12.65307,-0.46
637946262469419920,,,,0,,,looking at blue cube,1.389999,12.61268,-0.46
637946262469619948,,,,0,,,looking at blue cube,1.389999,12.57291,-0.46
637946262469809992,,,,0,,,looking at blue cube,1.389999,12.533,-0.46
637946262469950022,,,,0,,,Regular Blue Cube(Clone) was picked up,1.389999,12.533,-0.46
637946262484253270,,,,0,,,Regular Blue Cube(Clone)was placed in dropzone,12,7,10.41
637946262487063910,,,,0,,,looking at Drop Zone,12,7,10.41
637946262487233958,,,,0,,,looking at Drop Zone,12,7,10.41
637946262493393726,,,,0,,,looking at gold cube,1.389999,10.9045,2.336
637946262493593771,,,,0,,,looking at gold cube,1.389999,10.86511,2.336
637946262493793815,,,,0,,,looking at gold cube,1.389999,10.82482,2.336
637946262493993861,,,,0,,,looking at gold cube,1.389999,10.78394,2.336
637946262494183904,,,,0,,,looking at gold cube,1.389999,10.74598,2.336
637946262494373940,,,,0,,,looking at gold cube,1.389999,10.70691,2.336
637946262494583994,,,,0,,,looking at gold cube,1.389999,10.66586,2.336
637946262494964079,,,,0,,,looking at invis cube,1.389999,13.65735,2.336
637946262495164122,,,,0,,,looking at invis cube,1.389999,13.61732,2.336
637946262495344165,,,,0,,,looking at invis cube,1.389999,13.57795,2.336
637946262495534210,,,,0,,,looking at invis cube,1.389999,13.54173,2.336
637946262495734258,,,,0,,,looking at invis cube,1.389999,13.50332,2.336
637946262495924296,,,,0,,,looking at invis cube,1.389999,13.46335,2.336
637946262496124334,,,,0,,,looking at invis cube,1.389999,13.42555,2.336
637946262496324384,,,,0,,,looking at invis cube,1.389999,13.38461,2.336
637946262496514427,,,,0,,,looking at invis cube,1.389999,13.34634,2.336
637946262496724472,,,,0,,,looking at invis cube,1.389999,13.30406,2.336
637946262496924519,,,,0,,,looking at invis cube,1.389999,13.26502,2.336
637946262497124564,,,,0,,,looking at invis cube,1.389999,13.22531,2.336
637946262497324607,,,,0,,,looking at invis cube,1.389999,13.18522,2.336
637946262497534655,,,,0,,,looking at invis cube,1.389999,13.14312,2.336
637946262497754705,,,,0,,,looking at invis cube,1.389999,13.09907,2.336
637946262497894737,,,,0,,,Regular Neutral Cube(Clone) was picked up,1.389999,13.09907,2.336
637946262508127870,,,,0,,,Regular Neutral Cube(Clone)was placed in dropzone,11,7,10.41
637946262516754985,,,,0,,,looking at invis cube,1.389999,15.39469,-0.46
637946262516965030,,,,0,,,looking at invis cube,1.389999,15.35554,-0.46
637946262517181130,,,,0,,,looking at invis cube,1.389999,15.31135,-0.46
637946262517395129,,,,0,,,looking at invis cube,1.389999,15.26695,-0.46
637946262517625180,,,,0,,,looking at invis cube,1.389999,15.22201,-0.46
637946262517857800,,,,0,,,looking at invis cube,1.389999,15.17772,-0.46
637946262518069624,,,,0,,,looking at invis cube,1.389999,15.13302,-0.46
637946262518523022,,,,0,,,looking at invis cube,1.389999,15.04432,-0.46
637946262519413214,,,,0,,,looking at blue cube,1.389999,11.81786,2.336
637946262519633270,,,,0,,,looking at blue cube,1.389999,11.77341,2.336
637946262519853312,,,,0,,,looking at blue cube,1.389999,11.72925,2.336
637946262520293415,,,,0,,,looking at invis cube,1.389999,14.68919,-0.46
637946262520523467,,,,0,,,looking at invis cube,1.389999,14.64405,-0.46
637946262520743545,,,,0,,,looking at invis cube,1.389999,14.60007,-0.46
637946262520959442,,,,0,,,looking at invis cube,1.389999,14.55576,-0.46
637946262521173651,,,,0,,,looking at invis cube,1.389999,14.51364,-0.46
637946262521373692,,,,0,,,looking at invis cube,1.389999,14.47363,-0.46
637946262521573742,,,,0,,,looking at invis cube,1.389999,14.43336,-0.46
637946262521773782,,,,0,,,looking at invis cube,1.389999,14.39298,-0.46
637946262521963826,,,,0,,,looking at invis cube,1.389999,14.35466,-0.46
637946262522153867,,,,0,,,looking at invis cube,1.389999,14.31579,-0.46
637946262522353911,,,,0,,,looking at invis cube,1.389999,14.27679,-0.46
637946262522563963,,,,0,,,looking at invis cube,1.389999,14.23671,-0.46
637946262522764007,,,,0,,,looking at invis cube,1.389999,14.19539,-0.46
637946262522894036,,,,0,,,Regular Neutral Cube(Clone) was picked up,1.389999,14.19539,-0.46
637946262534891850,,,,0,,,Regular Neutral Cube(Clone)was placed in dropzone,11,7,10.41
637946262544197096,,,,0,,,looking at blue cube,1.389999,6.858733,2.336
637946262544387137,,,,0,,,looking at blue cube,1.389999,6.820483,2.336
637946262544557175,,,,0,,,Regular Blue Cube(Clone) was picked up,1.389999,6.820483,2.336
637946262554547851,,,,0,,,Regular Blue Cube(Clone)was placed in dropzone,12,7,10.41
637946262560932676,,,,0,,,looking at invis cube,1.389999,9.613265,2.336
637946262561292757,,,,0,,,looking at invis cube,1.389999,9.541313,2.336
637946262561492806,,,,0,,,looking at invis cube,1.389999,9.50105,2.336
637946262561932903,,,,0,,,looking at invis cube,1.389999,9.412613,2.336
637946262562143775,,,,0,,,looking at invis cube,1.389999,9.367755,2.336
637946262562383832,,,,0,,,looking at invis cube,1.389999,9.323376,2.336
637946262562603880,,,,0,,,looking at invis cube,1.389999,9.277886,2.336
637946262562823716,,,,0,,,looking at invis cube,1.389999,9.234399,2.336
637946262563033762,,,,0,,,looking at invis cube,1.389999,9.190307,2.336
637946262563276718,,,,0,,,looking at invis cube,1.389999,9.145639,2.336
637946262563493868,,,,0,,,looking at invis cube,1.389999,9.10149,2.336
637946262563699183,,,,0,,,looking at invis cube,1.389999,9.056747,2.336
637946262563929234,,,,0,,,looking at invis cube,1.389999,9.012795,2.336
637946262564159286,,,,0,,,looking at invis cube,1.389999,8.967536,2.336
637946262564329326,,,,0,,,Regular Neutral Cube(Clone) was picked up,1.389999,8.967536,2.336
637946262573657877,,,,0,,,Regular Neutral Cube(Clone)was placed in dropzone,11,7,10.41
637946262576075132,,,,0,,,looking at Drop Zone,11,7,10.41
637946262584256975,,,,0,,,Regular Red Cube(Clone) was picked up,1.389999,8.016011,-0.46
637946262595310405,,,,0,,,Regular Red Cube(Clone)was placed in dropzone,14,7,10.41
637946262604369157,,,,0,,,looking at gold cube,1.390015,10.07717,-3.12
637946262604799211,,,,0,,,looking at gold cube,1.390015,9.989233,-3.12
637946262605029261,,,,0,,,looking at gold cube,1.390015,9.945005,-3.12
637946262605239306,,,,0,,,looking at gold cube,1.390015,9.90026,-3.12
637946262605469364,,,,0,,,looking at gold cube,1.390015,9.855393,-3.12
637946262605699412,,,,0,,,looking at gold cube,1.390015,9.811468,-3.12
637946262605919030,,,,0,,,looking at gold cube,1.390015,9.767027,-3.12
637946262606139085,,,,0,,,looking at gold cube,1.390015,9.7226,-3.12
637946262606359132,,,,0,,,looking at gold cube,1.390015,9.67843,-3.12
637946262606579185,,,,0,,,looking at gold cube,1.390015,9.634305,-3.12
637946262606809231,,,,0,,,looking at gold cube,1.390015,9.588932,-3.12
637946262607029457,,,,0,,,looking at gold cube,1.390015,9.5449,-3.12
637946262607249505,,,,0,,,looking at gold cube,1.390015,9.500755,-3.12
637946262607469556,,,,0,,,looking at gold cube,1.390015,9.456608,-3.12
637946262608695240,,,,0,,,looking at invis cube,1.389999,12.2762,-0.46
637946262608885283,,,,0,,,looking at invis cube,1.389999,12.23959,-0.46
637946262609055324,,,,0,,,looking at invis cube,1.389999,12.20182,-0.46
637946262610055548,,,,0,,,looking at invis cube,1.389999,12.00261,-0.46
637946262610235588,,,,0,,,looking at invis cube,1.389999,11.9676,-0.46
