TimeStamp,participant,Condition,Tiral,Age,Gender,SessionTime,Event, xRotation, yRotation, zRotation, xPos, yPos, Zpos, Group
637998962196882132,,,,,,,HeadPos,-0.001000822,0.7372446,0.0477785,11.40341,6.779477,0.001797209,
637998962197021665,,,,,,,HeadPos,-0.0007994901,0.7371622,0.04782809,11.40332,6.779426,0.001859436,
637998962197121327,,,,,,,HeadPos,-0.0006259475,0.7372469,0.04800675,11.40315,6.779425,0.001888761,
637998962197220996,,,,,,,HeadPos,-0.0003319681,0.7373722,0.04839926,11.40275,6.779394,0.001936803,
637998962197340602,,,,,,,HeadPos,-0.0001772847,0.7375218,0.04856796,11.40251,6.779389,0.00192965,
637998962197450234,,,,,,,HeadPos,-0.0002087969,0.7375851,0.04872231,11.40225,6.779365,0.00189794,
637998962197589762,,,,,,,HeadPos,-0.0002818853,0.737723,0.04858597,11.40198,6.779365,0.001868138,
637998962197729302,,,,,,,HeadPos,-0.0004478544,0.7378381,0.04842546,11.40167,6.779323,0.00182117,
637998962197848896,,,,,,,HeadPos,-0.0004912652,0.7379032,0.04819399,11.40154,6.779183,0.001531849,
637998962197968502,,,,,,,HeadPos,-0.000584418,0.7379746,0.04783718,11.40124,6.779148,0.001478443,
637998962198068169,,,,,,,HeadPos,-0.0005806703,0.7380869,0.04748415,11.40092,6.779083,0.001458297,
637998962198167831,,,,,,,HeadPos,-0.0005290154,0.7381136,0.04698876,11.4006,6.779017,0.001466164,
637998962198277470,,,,,,,HeadPos,-0.0005516913,0.7380158,0.04653456,11.40035,6.778929,0.001482973,
637998962198436933,,,,,,,HeadPos,-0.0004658923,0.7378277,0.0459298,11.4001,6.778837,0.00152112,
637998962198546567,,,,,,,HeadPos,-0.0003972594,0.7373064,0.04471104,11.39957,6.778645,0.001526246,
637998962198656203,,,,,,,HeadPos,-0.0004817154,0.7369306,0.04312308,11.39913,6.778388,0.001589904,
637998962198765835,,,,,,,HeadPos,-0.0003379621,0.7367409,0.04215617,11.39877,6.778198,0.001619348,
637998962198985103,,,,,,,HeadPos,0.0005873386,0.7367364,0.04200372,11.39871,6.778071,0.001313338,
637998962199204364,,,,,,,HeadPos,0.001828994,0.7364523,0.04251481,11.39845,6.778138,0.001283059,
637998962199433601,,,,,,,HeadPos,0.00306076,0.7361544,0.04330964,11.39837,6.778283,0.001283655,
637998962199652865,,,,,,,HeadPos,0.005302245,0.736329,0.04505102,11.39841,6.778695,0.001312623,
637998962199872133,,,,,,,HeadPos,0.008237607,0.7367347,0.04810957,11.39844,6.779369,0.001271496,
